Ticket ID,Ticket Subject,Ticket Status,Ticket Priority,Ticket Type
189,Product compatibility,closed,High,refund request
190,Display issue,open,Critical,technical issue
191,Product setup,pending customer response,Critical,refund request
192,Delivery problem,pending customer response,Low,product inquiry
193,Account access,closed,Medium,product inquiry
194,Refund request,pending customer response,Critical,cancellation request
195,Payment issue,closed,Medium,billing inquiry
196,Product compatibility,open,High,refund request
197,Display issue,pending customer response,Low,refund request
198,Delivery problem,closed,High,refund request
199,Product setup,closed,Critical,cancellation request
200,Software bug,closed,Medium,product inquiry
201,Cancellation request,open,Critical,product inquiry
202,Delivery problem,open,Medium,refund request
203,Product setup,open,Medium,billing inquiry
204,Battery life,pending customer response,Low,product inquiry
205,Software bug,closed,High,cancellation request
206,Delivery problem,closed,Medium,refund request
207,Software bug,open,High,billing inquiry
208,Display issue,pending customer response,Critical,billing inquiry
209,Account access,open,High,refund request
210,Delivery problem,closed,Low,technical issue
211,Software bug,pending customer response,Low,technical issue
212,Battery life,pending customer response,Low,product inquiry
213,Network problem,open,Medium,technical issue
214,Installation support,open,High,billing inquiry
215,Display issue,open,Low,product inquiry
216,Peripheral compatibility,open,Critical,billing inquiry
217,Delivery problem,pending customer response,High,technical issue
218,Battery life,open,Low,billing inquiry
219,Battery life,pending customer response,Critical,billing inquiry
220,Refund request,closed,Critical,technical issue
221,Installation support,closed,Medium,billing inquiry
222,Installation support,pending customer response,Critical,billing inquiry
223,Account access,pending customer response,Critical,cancellation request
224,Product recommendation,pending customer response,Low,refund request
225,Network problem,open,Medium,refund request
226,Product recommendation,closed,High,technical issue
227,Product recommendation,closed,High,billing inquiry
228,Product recommendation,pending customer response,Low,cancellation request
229,Product recommendation,open,Low,billing inquiry
230,Hardware issue,closed,Critical,technical issue
231,Display issue,pending customer response,Low,refund request
232,Account access,pending customer response,High,technical issue
233,Display issue,open,High,technical issue
234,Hardware issue,pending customer response,High,refund request
235,Product compatibility,open,Critical,cancellation request
236,Peripheral compatibility,pending customer response,Critical,billing inquiry
237,Refund request,closed,Critical,refund request
238,Peripheral compatibility,closed,High,product inquiry
239,Product compatibility,pending customer response,Critical,refund request
240,Software bug,open,Low,cancellation request
241,Delivery problem,closed,Low,technical issue
242,Product compatibility,closed,Low,billing inquiry
243,Delivery problem,open,Critical,technical issue
244,Delivery problem,pending customer response,Critical,technical issue
245,Installation support,pending customer response,Medium,cancellation request
246,Product setup,pending customer response,Medium,billing inquiry
247,Account access,pending customer response,Medium,technical issue
248,Hardware issue,open,Medium,billing inquiry
249,Software bug,pending customer response,Critical,refund request
250,Product compatibility,closed,High,refund request
251,Product setup,closed,Critical,technical issue
252,Payment issue,pending customer response,Critical,technical issue
253,Network problem,pending customer response,High,cancellation request
254,Cancellation request,pending customer response,High,technical issue
255,Installation support,pending customer response,Low,refund request
256,Network problem,open,High,refund request
257,Installation support,pending customer response,High,cancellation request
258,Hardware issue,open,High,cancellation request
259,Cancellation request,open,High,product inquiry
260,Battery life,closed,Low,billing inquiry
261,Network problem,pending customer response,High,billing inquiry
262,Hardware issue,open,Critical,billing inquiry
263,Hardware issue,closed,Medium,product inquiry
264,Display issue,open,Medium,product inquiry
265,Cancellation request,closed,Critical,refund request
266,Product compatibility,closed,Medium,cancellation request
267,Product setup,open,High,technical issue
268,Product recommendation,open,Low,technical issue
269,Refund request,pending customer response,Medium,cancellation request
270,Hardware issue,closed,High,refund request
271,Data loss,closed,Critical,billing inquiry
272,Payment issue,open,Critical,refund request
273,Cancellation request,pending customer response,Critical,technical issue
274,Hardware issue,open,High,technical issue
275,Product setup,open,Medium,cancellation request
276,Network problem,open,Low,refund request
277,Product recommendation,open,Medium,billing inquiry
278,Refund request,closed,Medium,billing inquiry
279,Software bug,closed,Low,technical issue
280,Product recommendation,pending customer response,High,billing inquiry
281,Refund request,closed,Critical,product inquiry
282,Hardware issue,pending customer response,Low,product inquiry
283,Software bug,open,Low,cancellation request
284,Payment issue,open,Critical,technical issue
285,Payment issue,pending customer response,Low,billing inquiry
286,Peripheral compatibility,pending customer response,Medium,technical issue
287,Cancellation request,pending customer response,Critical,technical issue
288,Product setup,open,Low,product inquiry
289,Delivery problem,open,High,refund request
290,Product setup,pending customer response,Critical,refund request
291,Payment issue,pending customer response,Low,billing inquiry
292,Data loss,open,High,cancellation request
293,Product compatibility,closed,High,billing inquiry
294,Payment issue,open,Critical,product inquiry
295,Cancellation request,closed,Critical,product inquiry
296,Data loss,open,Medium,refund request
297,Installation support,closed,Medium,billing inquiry
298,Cancellation request,closed,Critical,cancellation request
299,Network problem,open,Low,product inquiry
300,Product recommendation,pending customer response,Medium,cancellation request
301,Product recommendation,open,High,cancellation request
302,Refund request,open,Medium,cancellation request
303,Peripheral compatibility,closed,Medium,product inquiry
304,Peripheral compatibility,pending customer response,Medium,cancellation request
305,Software bug,closed,Medium,cancellation request
306,Refund request,open,Critical,cancellation request
307,Peripheral compatibility,closed,Low,refund request
308,Product compatibility,pending customer response,Critical,technical issue
309,Delivery problem,open,High,product inquiry
310,Software bug,open,High,technical issue
311,Peripheral compatibility,closed,High,technical issue
312,Product setup,closed,Critical,refund request
313,Battery life,closed,Medium,technical issue
314,Cancellation request,open,Low,product inquiry
315,Payment issue,closed,High,cancellation request
316,Hardware issue,pending customer response,Critical,cancellation request
317,Hardware issue,open,High,cancellation request
318,Cancellation request,closed,Low,technical issue
319,Refund request,pending customer response,Medium,billing inquiry
320,Hardware issue,open,Critical,refund request
321,Software bug,closed,Medium,cancellation request
322,Product setup,open,High,billing inquiry
323,Battery life,closed,Critical,refund request
324,Data loss,open,Critical,technical issue
325,Battery life,pending customer response,Low,product inquiry
326,Hardware issue,closed,Low,refund request
327,Account access,pending customer response,Critical,product inquiry
328,Delivery problem,open,Low,refund request
329,Product compatibility,open,Medium,technical issue
330,Product recommendation,closed,Medium,refund request
331,Product recommendation,open,Low,refund request
332,Account access,pending customer response,Medium,cancellation request
333,Delivery problem,closed,Medium,technical issue
334,Installation support,closed,Medium,technical issue
335,Product recommendation,pending customer response,High,product inquiry
336,Installation support,open,High,cancellation request
337,Product compatibility,pending customer response,Critical,technical issue
338,Account access,open,High,technical issue
339,Product compatibility,closed,Critical,technical issue
340,Data loss,closed,Low,product inquiry
341,Cancellation request,open,Medium,billing inquiry
342,Product compatibility,pending customer response,Critical,cancellation request
343,Cancellation request,closed,Low,cancellation request
344,Refund request,open,Medium,product inquiry
345,Network problem,closed,High,technical issue
346,Payment issue,closed,High,technical issue
347,Cancellation request,open,Low,technical issue
348,Product recommendation,open,Medium,refund request
349,Battery life,pending customer response,Medium,technical issue
350,Battery life,closed,Critical,billing inquiry
351,Product compatibility,closed,Critical,cancellation request
352,Account access,pending customer response,Medium,cancellation request
353,Installation support,closed,High,refund request
354,Refund request,closed,Critical,cancellation request
355,Product recommendation,pending customer response,Medium,billing inquiry
356,Product compatibility,pending customer response,High,billing inquiry
357,Cancellation request,closed,High,technical issue
358,Software bug,open,Critical,refund request
359,Battery life,pending customer response,Low,billing inquiry
360,Product recommendation,open,Critical,billing inquiry
361,Network problem,closed,Medium,cancellation request
362,Product compatibility,closed,Medium,product inquiry
363,Hardware issue,open,Low,product inquiry
364,Battery life,open,Critical,refund request
365,Payment issue,closed,High,cancellation request
366,Peripheral compatibility,closed,Medium,billing inquiry
367,Hardware issue,open,Critical,cancellation request
368,Peripheral compatibility,open,Critical,billing inquiry
369,Account access,pending customer response,Low,cancellation request
370,Software bug,pending customer response,Low,product inquiry
371,Account access,closed,Medium,refund request
372,Battery life,closed,Medium,cancellation request
373,Battery life,closed,Medium,refund request
374,Cancellation request,closed,Critical,technical issue
375,Installation support,pending customer response,Low,product inquiry
376,Refund request,closed,Low,product inquiry
377,Hardware issue,pending customer response,Low,refund request
378,Product setup,open,Medium,cancellation request
379,Data loss,closed,Medium,refund request
380,Data loss,open,Medium,refund request
381,Peripheral compatibility,closed,Low,product inquiry
382,Refund request,closed,High,product inquiry
383,Product setup,open,Critical,billing inquiry
384,Display issue,closed,High,refund request
385,Installation support,open,Critical,product inquiry
386,Software bug,closed,Medium,technical issue
387,Hardware issue,closed,Critical,cancellation request
388,Data loss,closed,High,billing inquiry
389,Hardware issue,pending customer response,Medium,refund request
390,Delivery problem,pending customer response,Medium,billing inquiry
391,Display issue,closed,High,technical issue
392,Display issue,pending customer response,High,refund request
393,Battery life,pending customer response,Critical,billing inquiry
394,Delivery problem,pending customer response,High,billing inquiry
395,Refund request,closed,Critical,product inquiry
396,Delivery problem,closed,Low,technical issue
397,Refund request,pending customer response,Low,refund request
398,Delivery problem,open,Medium,refund request
399,Product recommendation,pending customer response,Critical,billing inquiry
400,Account access,pending customer response,High,product inquiry
401,Battery life,open,Medium,billing inquiry
402,Display issue,pending customer response,Medium,billing inquiry
403,Cancellation request,closed,Medium,cancellation request
404,Installation support,closed,Low,billing inquiry
405,Battery life,closed,Critical,cancellation request
406,Peripheral compatibility,open,Low,technical issue
407,Data loss,open,High,refund request
408,Software bug,open,Medium,technical issue
409,Product compatibility,closed,Critical,product inquiry
410,Product recommendation,open,Medium,product inquiry
411,Product recommendation,pending customer response,Low,cancellation request
412,Hardware issue,closed,Low,refund request
413,Battery life,pending customer response,Medium,refund request
414,Product compatibility,open,Low,technical issue
415,Display issue,open,Critical,technical issue
416,Data loss,open,Critical,refund request
417,Peripheral compatibility,open,Low,product inquiry
418,Account access,open,Critical,refund request
419,Software bug,closed,Low,technical issue
420,Network problem,open,Critical,product inquiry
421,Software bug,pending customer response,Critical,billing inquiry
422,Refund request,pending customer response,Medium,cancellation request
423,Data loss,pending customer response,Low,cancellation request
424,Display issue,pending customer response,High,product inquiry
425,Hardware issue,pending customer response,High,product inquiry
426,Hardware issue,open,Low,product inquiry
427,Installation support,pending customer response,High,billing inquiry
428,Display issue,open,Medium,technical issue
429,Hardware issue,closed,High,refund request
430,Data loss,closed,Low,refund request
431,Software bug,pending customer response,Low,cancellation request
432,Product recommendation,pending customer response,Low,billing inquiry
433,Battery life,pending customer response,Medium,product inquiry
434,Peripheral compatibility,open,Low,product inquiry
435,Software bug,open,Medium,product inquiry
436,Refund request,pending customer response,Critical,billing inquiry
437,Network problem,open,Low,billing inquiry
438,Product setup,closed,Critical,cancellation request
439,Delivery problem,closed,Medium,product inquiry
440,Network problem,closed,Low,cancellation request
441,Refund request,open,Low,cancellation request
442,Data loss,closed,Medium,technical issue
443,Software bug,pending customer response,Low,refund request
444,Delivery problem,closed,Medium,refund request
445,Display issue,closed,Medium,technical issue
446,Delivery problem,open,Low,technical issue
447,Delivery problem,pending customer response,Medium,cancellation request
448,Delivery problem,pending customer response,High,billing inquiry
449,Battery life,pending customer response,Medium,cancellation request
450,Software bug,closed,Critical,refund request
451,Product recommendation,pending customer response,Critical,refund request
452,Display issue,pending customer response,Low,product inquiry
453,Installation support,open,Critical,billing inquiry
454,Account access,closed,High,billing inquiry
455,Network problem,pending customer response,Critical,billing inquiry
456,Cancellation request,closed,Low,refund request
457,Cancellation request,open,Low,refund request
458,Software bug,pending customer response,Critical,refund request
459,Delivery problem,closed,Low,refund request
460,Payment issue,closed,Low,product inquiry
461,Product setup,open,Low,technical issue
462,Delivery problem,closed,Critical,billing inquiry
463,Account access,pending customer response,Medium,product inquiry
464,Cancellation request,closed,Medium,product inquiry
465,Cancellation request,pending customer response,Critical,cancellation request
466,Product recommendation,pending customer response,High,product inquiry
467,Account access,open,Medium,technical issue
468,Delivery problem,closed,Critical,billing inquiry
469,Network problem,closed,Low,cancellation request
470,Account access,open,Low,technical issue
471,Data loss,closed,Critical,refund request
472,Product compatibility,pending customer response,High,product inquiry
473,Refund request,closed,Medium,cancellation request
474,Hardware issue,open,Medium,technical issue
475,Account access,closed,Low,product inquiry
476,Display issue,open,High,billing inquiry
477,Installation support,open,Low,refund request
478,Installation support,open,Critical,cancellation request
479,Software bug,pending customer response,Low,billing inquiry
480,Product setup,open,Critical,refund request
481,Product recommendation,open,Medium,cancellation request
482,Refund request,pending customer response,High,cancellation request
483,Peripheral compatibility,open,Medium,technical issue
484,Product setup,closed,Low,technical issue
485,Data loss,closed,Critical,technical issue
486,Product compatibility,closed,Medium,product inquiry
487,Cancellation request,pending customer response,High,refund request
488,Data loss,open,Critical,technical issue
489,Network problem,open,Medium,billing inquiry
490,Hardware issue,open,High,cancellation request
491,Display issue,pending customer response,Low,billing inquiry
492,Display issue,open,High,technical issue
493,Account access,closed,Critical,billing inquiry
494,Payment issue,open,Critical,refund request
495,Product recommendation,open,Low,billing inquiry
496,Account access,closed,Low,technical issue
497,Installation support,closed,Medium,technical issue
498,Software bug,open,Medium,product inquiry
499,Refund request,open,Critical,product inquiry
500,Product setup,open,Critical,billing inquiry
501,Product compatibility,closed,High,cancellation request
502,Hardware issue,closed,Critical,billing inquiry
503,Product recommendation,open,High,technical issue
504,Cancellation request,closed,Medium,technical issue
505,Account access,pending customer response,Low,product inquiry
506,Peripheral compatibility,pending customer response,Critical,billing inquiry
507,Data loss,pending customer response,Critical,cancellation request
508,Payment issue,pending customer response,Critical,cancellation request
509,Product recommendation,open,Low,cancellation request
510,Product compatibility,closed,High,product inquiry
511,Product setup,pending customer response,Low,refund request
512,Battery life,closed,Low,product inquiry
513,Peripheral compatibility,pending customer response,Low,refund request
514,Refund request,pending customer response,Critical,product inquiry
515,Delivery problem,closed,Critical,technical issue
516,Product recommendation,closed,Medium,technical issue
517,Software bug,closed,Critical,billing inquiry
518,Network problem,open,High,billing inquiry
519,Account access,closed,Critical,product inquiry
520,Delivery problem,open,Critical,technical issue
521,Software bug,pending customer response,Critical,cancellation request
522,Product compatibility,pending customer response,Low,product inquiry
523,Network problem,open,High,product inquiry
524,Installation support,open,High,cancellation request
525,Battery life,closed,Low,refund request
526,Product setup,closed,Medium,refund request
527,Display issue,closed,Critical,refund request
528,Delivery problem,pending customer response,Critical,refund request
529,Product compatibility,pending customer response,Low,product inquiry
530,Hardware issue,pending customer response,Medium,cancellation request
531,Product compatibility,open,Medium,billing inquiry
532,Peripheral compatibility,open,Low,cancellation request
533,Peripheral compatibility,open,High,refund request
534,Product compatibility,pending customer response,Medium,product inquiry
535,Account access,closed,Medium,technical issue
536,Account access,open,Medium,refund request
537,Peripheral compatibility,closed,Medium,technical issue
538,Battery life,pending customer response,High,technical issue
539,Payment issue,open,Medium,technical issue
540,Cancellation request,closed,Medium,cancellation request
541,Software bug,pending customer response,Critical,product inquiry
542,Network problem,open,Medium,cancellation request
543,Product compatibility,open,Medium,cancellation request
544,Display issue,closed,Low,refund request
545,Payment issue,open,Critical,cancellation request
546,Software bug,pending customer response,Medium,cancellation request
547,Installation support,open,High,technical issue
548,Software bug,open,Low,refund request
549,Refund request,pending customer response,Low,refund request
550,Installation support,open,Low,technical issue
551,Product recommendation,open,Low,cancellation request
552,Display issue,pending customer response,Critical,technical issue
553,Cancellation request,pending customer response,Critical,technical issue
554,Product setup,pending customer response,High,billing inquiry
555,Refund request,open,Critical,product inquiry
556,Installation support,closed,Critical,billing inquiry
557,Display issue,open,Low,cancellation request
558,Product compatibility,open,Medium,cancellation request
559,Peripheral compatibility,closed,Critical,product inquiry
560,Display issue,open,Low,cancellation request
561,Display issue,pending customer response,Critical,technical issue
562,Network problem,closed,Medium,technical issue
563,Delivery problem,pending customer response,Medium,technical issue
564,Battery life,pending customer response,Low,billing inquiry
565,Cancellation request,closed,High,cancellation request
566,Peripheral compatibility,open,Low,billing inquiry
567,Installation support,pending customer response,Low,product inquiry
568,Peripheral compatibility,closed,High,billing inquiry
569,Network problem,closed,Low,product inquiry
570,Payment issue,open,Critical,cancellation request
571,Refund request,pending customer response,Low,product inquiry
572,Network problem,pending customer response,Low,billing inquiry
573,Product recommendation,open,Low,product inquiry
574,Network problem,pending customer response,Critical,cancellation request
575,Network problem,closed,Medium,billing inquiry
576,Data loss,closed,Low,billing inquiry
577,Account access,closed,Low,product inquiry
578,Software bug,open,High,billing inquiry
579,Product compatibility,pending customer response,Medium,technical issue
580,Software bug,open,Medium,technical issue
581,Software bug,closed,Critical,cancellation request
582,Installation support,pending customer response,Low,refund request
583,Cancellation request,open,High,cancellation request
584,Display issue,pending customer response,High,cancellation request
585,Battery life,open,Critical,cancellation request
586,Product setup,closed,Critical,refund request
587,Hardware issue,open,Critical,refund request
588,Product recommendation,closed,Medium,refund request
589,Peripheral compatibility,pending customer response,Critical,billing inquiry
590,Data loss,closed,High,technical issue
591,Refund request,pending customer response,Low,refund request
592,Product compatibility,open,Medium,refund request
593,Payment issue,open,Critical,technical issue
594,Product compatibility,open,Low,technical issue
595,Product setup,open,High,billing inquiry
596,Payment issue,pending customer response,Low,cancellation request
597,Data loss,closed,Critical,cancellation request
598,Cancellation request,closed,High,technical issue
599,Account access,closed,Critical,technical issue
600,Product setup,pending customer response,High,technical issue
601,Installation support,closed,Low,billing inquiry
602,Account access,pending customer response,High,technical issue
603,Delivery problem,pending customer response,Critical,billing inquiry
604,Refund request,closed,Critical,refund request
605,Installation support,closed,Critical,product inquiry
606,Payment issue,open,Low,billing inquiry
607,Product compatibility,open,Low,cancellation request
608,Software bug,open,Low,refund request
609,Refund request,open,Critical,technical issue
610,Data loss,pending customer response,Medium,refund request
611,Delivery problem,pending customer response,Low,cancellation request
612,Network problem,closed,Medium,product inquiry
613,Cancellation request,pending customer response,Medium,refund request
614,Network problem,pending customer response,Low,refund request
615,Software bug,pending customer response,Medium,technical issue
616,Account access,pending customer response,Low,cancellation request
617,Installation support,open,Medium,product inquiry
618,Account access,open,Low,product inquiry
619,Account access,pending customer response,High,product inquiry
620,Refund request,closed,Low,technical issue
621,Hardware issue,closed,Low,billing inquiry
622,Account access,closed,Medium,product inquiry
623,Payment issue,pending customer response,High,cancellation request
624,Software bug,pending customer response,Critical,technical issue
625,Account access,pending customer response,Medium,billing inquiry
626,Product recommendation,pending customer response,Low,billing inquiry
627,Product compatibility,open,Critical,technical issue
628,Hardware issue,closed,High,billing inquiry
629,Hardware issue,pending customer response,High,billing inquiry
630,Installation support,open,Critical,product inquiry
631,Installation support,open,Medium,refund request
632,Product recommendation,pending customer response,Low,cancellation request
633,Battery life,pending customer response,Critical,cancellation request
634,Account access,pending customer response,Low,product inquiry
635,Data loss,pending customer response,Medium,cancellation request
636,Data loss,closed,Medium,cancellation request
637,Cancellation request,open,Critical,cancellation request
638,Hardware issue,pending customer response,Low,product inquiry
639,Delivery problem,pending customer response,Critical,product inquiry
640,Data loss,open,High,refund request
641,Hardware issue,closed,Low,technical issue
642,Peripheral compatibility,pending customer response,Critical,billing inquiry
643,Display issue,closed,High,billing inquiry
644,Network problem,closed,Critical,cancellation request
645,Refund request,closed,Medium,refund request
646,Refund request,pending customer response,Low,refund request
647,Peripheral compatibility,open,Medium,cancellation request
648,Installation support,open,Low,product inquiry
649,Cancellation request,closed,Medium,refund request
650,Network problem,open,Critical,technical issue
651,Installation support,pending customer response,High,technical issue
652,Product recommendation,open,High,product inquiry
653,Installation support,pending customer response,Low,cancellation request
654,Display issue,pending customer response,Critical,billing inquiry
655,Software bug,closed,High,refund request
656,Software bug,open,High,refund request
657,Product recommendation,closed,Critical,refund request
658,Cancellation request,closed,High,technical issue
659,Refund request,pending customer response,Low,product inquiry
660,Product setup,open,Medium,refund request
661,Data loss,pending customer response,Medium,product inquiry
662,Battery life,open,Medium,technical issue
663,Data loss,closed,High,billing inquiry
664,Refund request,open,Medium,product inquiry
665,Product setup,closed,Low,product inquiry
666,Installation support,closed,Medium,cancellation request
667,Display issue,open,Critical,technical issue
668,Account access,pending customer response,Critical,refund request
669,Peripheral compatibility,open,Low,technical issue
670,Product recommendation,open,Low,cancellation request
671,Delivery problem,closed,Medium,product inquiry
672,Product setup,pending customer response,Low,technical issue
673,Product recommendation,open,Medium,product inquiry
674,Software bug,closed,Medium,product inquiry
675,Product setup,open,High,product inquiry
676,Data loss,open,High,product inquiry
677,Peripheral compatibility,open,Medium,refund request
678,Hardware issue,pending customer response,High,technical issue
679,Refund request,closed,Medium,cancellation request
